Request: https://finance.yahoo.com/quote/MSFT/financials
Error: Failed with: 301
         461229 function calls (437349 primitive calls) in 0.748 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.000    0.000 _models.py:284(__getitem__)
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
        1    0.000    0.000    0.000    0.000 parse.py:469(urlsplit)
       15    0.000    0.000    0.000    0.000 enum.py:513(__prepare__)
       87    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       15    0.000    0.000    0.000    0.000 enum.py:1035(_find_new_)
        5    0.000    0.000    0.001    0.000 _models.py:884(iter_bytes)
      391    0.000    0.000    0.000    0.000 typing.py:962(__eq__)
        5    0.000    0.000    0.001    0.000 _models.py:935(iter_raw)
        3    0.000    0.000    0.000    0.000 _models.py:53(enforce_headers)
        1    0.000    0.000    0.526    0.526 connection.py:69(handle_request)
        2    0.000    0.000    0.019    0.009 _models.py:1(<module>)
      112    0.000    0.000    0.000    0.000 dataclasses.py:857(_set_qualname)
       31    0.000    0.000    0.000    0.000 _util.py:84(validate)
       47    0.000    0.000    0.000    0.000 typing.py:1442(__mro_entries__)
       24    0.000    0.000    0.001    0.000 dataclasses.py:627(_repr_fn)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      334    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.000    0.000 ssl.py:504(set_alpn_protocols)
        2    0.000    0.000    0.000    0.000 _models.py:1270(info)
        1    0.000    0.000    0.000    0.000 random.py:1(<module>)
        1    0.000    0.000    0.104    0.104 sync.py:188(connect_tcp)
      193    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      108    0.000    0.000    0.000    0.000 typing.py:317(_deduplicate)
      123    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.002    0.002 _status_codes.py:1(<module>)
       76    0.000    0.000    0.000    0.000 _models.py:19(enforce_bytes)
      242    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       11    0.000    0.000    0.001    0.000 _connection.py:410(_extract_next_receive_event)
        2    0.000    0.000    0.008    0.004 utils.py:1(<module>)
       75    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
        1    0.000    0.000    0.529    0.529 _client.py:1001(_send_single_request)
      240    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.215    0.215 sync.py:144(start_tls)
        1    0.000    0.000    0.002    0.002 _types.py:1(<module>)
        7    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
      299    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      114    0.000    0.000    0.000    0.000 enum.py:202(__get__)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
      516    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      177    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       24    0.000    0.000    0.000    0.000 dataclasses.py:428(_fields_in_init_order)
      281    0.000    0.000    0.000    0.000 dataclasses.py:461(<genexpr>)
